ID;City;Country;Longitude;Latitude
212;Medicine Hat;Canada;-110.717;50.017
213;Melbourne, VIC;Australia;145.03;-37.88
214;Memphis, TN;USA;-90.04;35.14
215;Metz;France;6.18;49.12
216;Mexico City;Mexico;-99.14;19.45
217;Miami, FL;USA;-80.19;25.77
218;Milan;Italy;9.18;45.47
219;Milwaukee, WI;USA;-87.9;43.03
220;Minneapolis, MN;USA;-93.26;44.98
221;Minsk;Belarus;27.6;53.9
222;Mobile, AL;USA;-88.04;30.69
223;Monaco;Monaco;7.41;43.74
224;Monterrey;Mexico;-100.3;25.68
225;Montevideo;Uruguay;-56.17;-34.9
226;Montreal, PQ;Canada;-73.34;45.3
227;Morioka;Japan;141.14;39.69
228;Moscow;Russia;37.58;55.74
229;Mumbai;India;72.82;19.07
230;Munich;Germany;11.57;48.13
231;Murmansk;Russia;33.08;68.97
232;Nagano;Japan;138.19;36.65
233;Nagasaki;Japan;129.87;32.71
234;Nagoya;Japan;136.88;35.14
235;Nairobi;Kenya;36.81;-1.28
236;Nanjing;China;118.78;32.04
237;Naples;Italy;14.26;40.83
238;Nashville, TN;USA;-86.78;36.16
239;Nassau;Bahamas;-77.34;25.05
240;New Orleans, LA;USA;-90.07;29.95
241;New York, NY;USA;-73.99;40.74
242;Newark, NJ;USA;-74.17;40.73
243;Nicosia;Cyprus;33.36;35.18
244;Norwich;United Kingdom;1.29;52.64
245;Novosibirsk;Russia;82.93;55.02
246;Nuku-alofa;Tonga;-175.2;-21.13
247;Nuuk;Greenland;-51.72;64.19
248;Oakland, CA;USA;-122.21;37.77
249;Oklahoma City, OK;USA;-97.52;35.46
250;Omaha, NE;USA;-95.93;41.25
251;Oomori;Japan;139.733;35.567
252;Orlando, FL;USA;-81.38;28.53
253;Osaka;Japan;135.47;34.67
254;Oshawa, ON;Canada;-78.51;43.54
255;Oslo;Norway;10.73;59.91
256;Ottawa, ON;Canada;-75.4;45.25
257;Overland Park, KS;USA;-94.66;39.02
258;Oviedo;Spain;-5.84;43.37
259;Palermo;Italy;13.36;38.12
260;Palma de Mallorca;Spain;2.65;39.57
261;Panama City;Panama;-79.5;9.01
262;Paris;France;2.35;48.86
263;Pasadena, CA;USA;-118.14;34.14
264;Pasadena, TX;USA;-95.2;29.69
265;Peoria, IL;USA;-89.58;40.69
266;Perth, WA;Australia;115.76;-31.93
267;Perugia;Italy;12.38;43.11
268;Philadelphia, PA;USA;-75.16;39.95
269;Phnom Penh;Cambodia;104.92;11.56
270;Phoenix, AZ;USA;-112.07;33.44
271;Pisa;Italy;10.41;43.71
272;Pittsburgh, PA;USA;-80;40.44
273;Plymouth;United Kingdom;-4.14;50.37
274;Port Louis;Mauritius;57.5;-20.17
275;Portland, OR;USA;-122.67;45.52
276;Porto;Portugal;-8.61;41.16
277;Porto Alegre;Brazil;-51.22;-30.04
278;Prague;Czech Republic;14.44;50.07
279;Pretoria;South Africa;28.22;-25.72
280;Providence, RI;USA;-71.41;41.82
281;Puebla de Zaragoza;Mexico;-98.21;19.05
282;Pusan;Korea;129.04;35.1
283;Quebec City, PQ;Canada;-71.13;46.49
284;Quito;Ecuador;-78.5;-0.22
285;Rabat;Morocco;-6.83;34.02
286;Raleigh, NC;USA;-78.63;35.77
287;Recife;Brazil;-34.9;-8.05
288;Redmond, WA;USA;-122.12;47.66
289;Reggio Calabria;Italy;15.65;38.11
290;Regina, SK;Canada;-104.3;50.3
291;Reykjavik;Iceland;-21.94;64.14
292;Richmond, VA;USA;-77.46;37.55
293;Riga;Latvia;24.1;56.95
294;Rio de Janeiro;Brazil;-43.17;-22.9
295;Riyadh;Saudi Arabia;46.74;24.64
296;Rockford, IL;USA;-89.08;42.27
297;Rome;Italy;12.49;41.89
298;Roswell, NM;USA;-104.31;33.23
299;Rouen;France;1.09;49.44
300;Sacramento, CA;USA;-121.49;38.58
301;Saint John, NB;Canada;-65.57;45.2
302;Saint Louis, MO;USA;-90.19;38.62
303;Saint Paul, MN;USA;-93.09;44.94
304;Salt Lake City, UT;USA;-111.86;40.75
305;Salvador;Brazil;-38.5;-12.97
306;Salzburg;Austria;13.05;47.8
307;San Antonio, TX;USA;-98.49;29.42
308;San Bernardino, CA;USA;-117.3;34.12
309;San Diego, CA;USA;-117.15;32.71
310;San Francisco, CA;USA;-122.41;37.77
311;San Jose;Costa Rica;-84.07;9.93
312;San Jose, CA;USA;-121.89;37.33
313;San Juan;Puerto Rico;-66.13;18.48
314;San Salvador;El Salvador;-89.2;13.7
315;Santa Ana, CA;USA;-117.85;33.75
316;Santa Rosa, CA;USA;-122.75;38.44
317;Santander;Spain;-3.8;43.47
318;Santiago;Chile;-70.67;-33.45
319;Santo Domingo;Dominican Republic;-69.89;18.49
